caso,tipo,algoritmo,N,NP,H,workers,tiempo_observado_medio_us,tiempo_predicho_us,error_absoluto_us,error_relativo_pct,tiempo_observado_medio_s,tiempo_predicho_s,GFLOPS_observado,speedup_observado,eficiencia_observada
mejor_tiempo,ProcesosMaster,transpuesta,400,2,1,1,190711.7,297290.291666668,106578.591666668,55.8846634300191,0.1907117,0.297290291666668,0.671170148449204,1,1
mejor_gflops,Procesos,transpuesta,3200,17,1,16,27093783.3,27093783.3,0,0,27.0937833,27.0937833,2.41885746535811,3.44780156880736,0.21548759805046
mas_estable,ProcesosMaster,transpuesta,3200,2,1,1,93413988.5666667,93413988.5666667,0,0,93.4139885666667,93.4139885666667,0.701565161766206,1,1
procesos_extremo,Procesos,transpuesta,3200,33,1,32,63380308.2333333,63380308.2333334,2.23517417907715e-08,3.52660667229386e-14,63.3803082333333,63.3803082333334,1.03401201140787,1.47386453569719,0.0460582667405372
hilos_extremo,Hilos,transpuesta,3200,5,1,4,29867232.1555556,41055076.9666667,11187844.8111112,37.4585925901745,29.8672321555556,41.0550769666667,2.19424416894988,3.12764129197325,0.781910322993312
